{'time': 1668258000, 'data': [{'win': 1, 'Source': 'Xz', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 6, 'rTemp': 5, 'wSpeed': 4.44, 'wDir': 11, 'Hum': 27}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'clear sky', 'Id': 0, 'Temp': 4.94, 'rTemp': 2.01, 'wSpeed': 3.63, 'wDir': 12, 'Hum': 26}, {'win': 0, 'Source': 'MS', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 6.5, 'rTemp': 2.6, 'wSpeed': 4.56, 'wDir': 0.0, 'Hum': 37}]}
{'time': 1668261600, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 5, 'rTemp': 5, 'wSpeed': 2.78, 'wDir': 298, 'Hum': 30}, {'win': 1, 'Source': 'Op', 'City': 'BJ', 'Condition': 'scattered clouds', 'Id': 1, 'Temp': 2.94, 'rTemp': -0.4, 'wSpeed': 3.59, 'wDir': 10, 'Hum': 27}, {'win': 0, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 5.7, 'rTemp': 1.7, 'wSpeed': 4.5, 'wDir': 0.0, 'Hum': 38}]}
{'time': 1668265200, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 5, 'rTemp': 6, 'wSpeed': 3.89, 'wDir': 23, 'Hum': 31}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'scattered clouds', 'Id': 1, 'Temp': 2.94, 'rTemp': -0.43, 'wSpeed': 3.63, 'wDir': 5, 'Hum': 28}, {'win': 1, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 5.1, 'rTemp': 0.8, 'wSpeed': 4.56, 'wDir': 0.0, 'Hum': 39}]}
{'time': 1668268800, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 4, 'rTemp': 5, 'wSpeed': 4.17, 'wDir': 352, 'Hum': 33}, {'win': 1, 'Source': 'Op', 'City': 'BJ', 'Condition': 'few clouds', 'Id': 1, 'Temp': 2.94, 'rTemp': -0.32, 'wSpeed': 3.47, 'wDir': 2, 'Hum': 29}, {'win': 0, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 4.4, 'rTemp': 0.2, 'wSpeed': 4.44, 'wDir': 0.0, 'Hum': 41}]}
{'time': 1668268800, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 4, 'rTemp': 5, 'wSpeed': 4.17, 'wDir': 352, 'Hum': 33}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'few clouds', 'Id': 1, 'Temp': 2.94, 'rTemp': -0.32, 'wSpeed': 3.47, 'wDir': 2, 'Hum': 29}, {'win': 1, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 4.4, 'rTemp': 0.2, 'wSpeed': 4.44, 'wDir': 0.0, 'Hum': 41}]}
{'time': 1668340800, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 4, 'rTemp': 8, 'wSpeed': 0.56, 'wDir': 186, 'Hum': 51}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'scattered clouds', 'Id': 1, 'Temp': 0.94, 'rTemp': -2.13, 'wSpeed': 2.73, 'wDir': 206, 'Hum': 39}, {'win': 1, 'Source': 'MS', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 7.6, 'rTemp': 5.1, 'wSpeed': 3.44, 'wDir': 203.0, 'Hum': 47}]}
{'time': 1668344400, 'data': [{'win': 1, 'Source': 'Xz', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 4, 'rTemp': 7, 'wSpeed': 1.67, 'wDir': 188, 'Hum': 50}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'clear sky', 'Id': 0, 'Temp': 0.94, 'rTemp': -2.01, 'wSpeed': 2.6, 'wDir': 205, 'Hum': 44}, {'win': 0, 'Source': 'MS', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 6.8, 'rTemp': 4.3, 'wSpeed': 3.33, 'wDir': 203.0, 'Hum': 48}]}
{'time': 1668348000, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 4, 'rTemp': 3, 'wSpeed': 0.56, 'wDir': 205, 'Hum': 53}, {'win': 1, 'Source': 'Op', 'City': 'BJ', 'Condition': 'scattered clouds', 'Id': 1, 'Temp': -0.06, 'rTemp': -3.04, 'wSpeed': 2.45, 'wDir': 207, 'Hum': 46}, {'win': 0, 'Source': 'MS', 'City': 'BJ', 'Condition': '多云', 'Id': 1, 'Temp': 5.7, 'rTemp': 3.5, 'wSpeed': 3.03, 'wDir': 203.0, 'Hum': 49}]}
{'time': 1668351600, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 3, 'rTemp': 2, 'wSpeed': 1.11, 'wDir': 225, 'Hum': 55}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'broken clouds', 'Id': 1, 'Temp': 0.94, 'rTemp': -1.86, 'wSpeed': 2.45, 'wDir': 211, 'Hum': 47}, {'win': 1, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 4.5, 'rTemp': 2.7, 'wSpeed': 2.72, 'wDir': 203.0, 'Hum': 51}]}
{'time': 1668355200, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 3, 'rTemp': 2, 'wSpeed': 1.39, 'wDir': 222, 'Hum': 58}, {'win': 0, 'Source': 'Op', 'City': 'BJ', 'Condition': 'broken clouds', 'Id': 1, 'Temp': -0.06, 'rTemp': -2.82, 'wSpeed': 2.25, 'wDir': 212, 'Hum': 48}, {'win': 1, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 3.6, 'rTemp': 2.0, 'wSpeed': 2.56, 'wDir': 203.0, 'Hum': 53}]}
{'time': 1668358800, 'data': [{'win': 0, 'Source': 'Xz', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 3, 'rTemp': 2, 'wSpeed': 0.56, 'wDir': 213, 'Hum': 63}, {'win': 1, 'Source': 'Op', 'City': 'BJ', 'Condition': 'broken clouds', 'Id': 1, 'Temp': -0.06, 'rTemp': -1.85, 'wSpeed': 1.52, 'wDir': 221, 'Hum': 48}, {'win': 0, 'Source': 'MS', 'City': 'BJ', 'Condition': '晴', 'Id': 0, 'Temp': 2.9, 'rTemp': 1.6, 'wSpeed': 2.36, 'wDir': 203.0, 'Hum': 57}]}
